City,Year,AverageTemperature,NO2 Mean,SO2 Mean,CO Mean,Latitude,Longitude,Avg_CO2_natural_pross
New York,2011,11.7585,13.4067951329562,0.404033633663366,0.20552209476662,34.56,-107.03,193891.253360382
New York,2012,12.5969166666667,13.742087632312,0.646937076601671,0.184376419220056,34.56,-107.03,190565.325603609
New York,2013,13.6307777777778,11.7707440027894,0.789340518828452,0.214931436541144,34.56,-107.03,190013.457939345
"343 Obrecht Road, Sykesville",2000,12.27775,21.4510820747664,5.22178614719626,0.507266247663551,39.38,-76.99,202954.840625164
"343 Obrecht Road, Sykesville",2006,13.5885833333333,18.1291026168831,1.99741670454545,0.311250107142857,39.38,-76.99,206890.551627886
"343 Obrecht Road, Sykesville",2007,13.1334166666667,16.8718997333333,2.9743638962963,0.208500492592593,39.38,-76.99,207704.80204842
"343 Obrecht Road, Sykesville",2008,12.764,14.362558040404,2.25952486363636,0.18712873989899,39.38,-76.99,202172.348238522
"343 Obrecht Road, Sykesville",2009,12.4376666666667,13.0916588697674,1.36191083023256,0.178171539534884,39.38,-76.99,189498.288118821
"343 Obrecht Road, Sykesville",2010,13.2808333333333,13.6902696372549,1.3536852622549,0.137693490196078,39.38,-76.99,195632.057606128
"343 Obrecht Road, Sykesville",2011,13.55725,11.2586732242991,-0.182537240654206,0.284428504672897,39.38,-76.99,193891.253360382
"343 Obrecht Road, Sykesville",2012,13.9965833333333,10.3553073555556,0.364801237037037,0.185723192592593,39.38,-76.99,190565.325603609
Pickle Parkway,2012,21.5560833333333,8.31354334375,0.485593484375,0.1483206875,29.74,-97.85,190565.325603609
Pickle Parkway,2013,22.1826666666667,5.47893781681682,0.494254106606607,0.0924823648648648,29.74,-97.85,190013.457939345
"4135 South I Street, Tulare",2000,16.5040833333333,30.7855619473684,2.63545431578947,0.913454824561404,36.17,-119.34,202954.840625164
"4135 South I Street, Tulare",2001,16.8975833333333,28.347502225,1.676077975,0.7948010125,36.17,-119.34,202533.047669484
"Lafourche Parish, Louisiana",2000,21.0925,17.3460742431694,3.65871243032787,0.756646195355191,29.74,-90.46,202954.840625164
"Lafourche Parish, Louisiana",2001,20.8611666666667,17.3592387722222,3.69179673888889,0.825789090277778,29.74,-90.46,202533.047669484
"Lafourche Parish, Louisiana",2002,20.8769166666667,18.0075229129173,2.61275907256894,0.715797519593614,29.74,-90.46,202507.256316711
"Lafourche Parish, Louisiana",2003,20.6291666666667,15.5625022527778,3.36232855555556,0.661954154166667,29.74,-90.46,205392.551367591
"Lafourche Parish, Louisiana",2004,21.05875,15.8162260164384,3.45987645205479,0.561826015068493,29.74,-90.46,207367.67381895
"Lafourche Parish, Louisiana",2005,21.2510833333333,15.6509889695291,4.40734049861496,0.405291504155125,29.74,-90.46,207371.776318334
"Lafourche Parish, Louisiana",2006,21.5299166666667,15.2907158461538,3.61794494505495,0.344164570054945,29.74,-90.46,206890.551627886
"Lafourche Parish, Louisiana",2007,21.25275,15.1991169183099,2.57456151408451,0.381694292957747,29.74,-90.46,207704.80204842
"Lafourche Parish, Louisiana",2008,20.92725,13.101188951049,2.39554234405594,0.283272268531469,29.74,-90.46,202172.348238522
"Lafourche Parish, Louisiana",2009,21.22975,12.8751434736842,1.91346342797784,0.221387469529086,29.74,-90.46,189498.288118821
"Lafourche Parish, Louisiana",2010,20.33225,12.6985428300283,1.35962493484419,0.247254865439094,29.74,-90.46,195632.057606128
"Lafourche Parish, Louisiana",2011,21.1683333333333,11.6657067107438,1.24741983471074,0.221497504132231,29.74,-90.46,193891.253360382
"Lafourche Parish, Louisiana",2012,21.8084166666667,11.400542943662,0.824401104225352,0.218682654929577,29.74,-90.46,190565.325603609
"Lafourche Parish, Louisiana",2013,21.9952222222222,9.64470509444444,0.635253729166667,0.2040162875,29.74,-90.46,190013.457939345
"Alameda County, California",2007,14.93675,20.4290332083333,1.25277608333333,0.438132145833333,37.78,-122.03,207704.80204842
"Alameda County, California",2008,15.0528333333333,14.2858669889503,0.87848720441989,0.270273354972376,37.78,-122.03,202172.348238522
"Alameda County, California",2009,15.01975,12.8629691589041,0.929267264383562,0.331706316438356,37.78,-122.03,189498.288118821
"Alameda County, California",2010,14.6709166666667,12.8528121181319,0.798487912087912,0.314625581043956,37.78,-122.03,195632.057606128
"342 Fair Avenue, Centreville",2013,18.9838888888889,12.0656349677419,0.750311306451613,0.211006887096774,32.95,-87.13,190013.457939345
"444 Park Street, Gardner",2001,8.91141666666667,24.0484337615385,5.90204849038462,0.297726257692308,42.59,-72,202533.047669484
"444 Park Street, Gardner",2002,9.01575,22.5473301678756,4.55752523056995,0.396308289119171,42.59,-72,202507.256316711
"444 Park Street, Gardner",2003,7.77566666666667,22.496309909589,6.00403299589041,0.618627801369863,42.59,-72,205392.551367591
"444 Park Street, Gardner",2004,8.08908333333333,16.8207040063492,3.6369528968254,0.195828977777778,42.59,-72,207367.67381895
"444 Park Street, Gardner",2005,8.55591666666667,18.6490796131805,1.9711940243553,0.271649398280802,42.59,-72,207371.776318334
"444 Park Street, Gardner",2006,9.48258333333333,18.6769004361111,2.40800493888889,0.456325038888889,42.59,-72,206890.551627886
"444 Park Street, Gardner",2007,8.3645,19.6971824198895,3.16670440745856,0.36190705801105,42.59,-72,207704.80204842
"444 Park Street, Gardner",2008,8.53366666666667,19.6786903589041,2.33086948356164,0.173259021917808,42.59,-72,202172.348238522
"444 Park Street, Gardner",2009,8.06908333333333,18.0483847091413,2.12678294182826,0.286534846260388,42.59,-72,189498.288118821
"444 Park Street, Gardner",2010,9.58016666666667,17.0527500124481,1.58087202351314,0.280419733056708,42.59,-72,195632.057606128
"444 Park Street, Gardner",2011,9.12358333333333,18.5299443351648,1.24891720879121,0.288049269230769,42.59,-72,193891.253360382
